layer,gamma,r2,rmse_log_ratio,drop_rate,ppl_mean,ppl_std
9,4.655451387834382,0.9974485357221119,0.003903060893812245,0.005,12.652942610514144,0.010410353059928752
9,4.655451387834382,0.9974485357221119,0.003903060893812245,0.01,12.888753516183497,0.03210978074325711
9,4.655451387834382,0.9974485357221119,0.003903060893812245,0.02,13.5718695289888,0.089186557257254
9,4.655451387834382,0.9974485357221119,0.003903060893812245,0.03,14.213505132596234,0.15455670670167732
9,4.655451387834382,0.9974485357221119,0.003903060893812245,0.05,15.694181486884181,0.1571502351264453
10,4.4679473812925385,0.9986733508405051,0.0026367790193571384,0.0,12.388739769105376,0.0
10,4.4679473812925385,0.9986733508405051,0.0026367790193571384,0.005,12.68045369489432,0.06515265462542132
10,4.4679473812925385,0.9986733508405051,0.0026367790193571384,0.01,12.892432504956092,0.10978900764771146
10,4.4679473812925385,0.9986733508405051,0.0026367790193571384,0.02,13.522495384144166,0.07427481055241783
10,4.4679473812925385,0.9986733508405051,0.0026367790193571384,0.03,14.204268455105549,0.06735265219995931
10,4.4679473812925385,0.9986733508405051,0.0026367790193571384,0.05,15.489224410488355,0.0022505725437868174
11,5.346044459665721,0.9947317074664306,0.006288891038987925,0.0,12.388739769105376,0.0
11,5.346044459665721,0.9947317074664306,0.006288891038987925,0.005,12.787362189423211,0.017170038634978402
11,5.346044459665721,0.9947317074664306,0.006288891038987925,0.01,13.074357141068157,0.047861310191329776
11,5.346044459665721,0.9947317074664306,0.006288891038987925,0.02,13.676176694883281,0.07121658463973643
11,5.346044459665721,0.9947317074664306,0.006288891038987925,0.03,14.434578120309189,0.07766548677476429
11,5.346044459665721,0.9947317074664306,0.006288891038987925,0.05,16.30158634093501,0.2302448846869373
12,5.093836777692479,0.9922913865760071,0.007463047008906326,0.0,12.388739769105376,0.0
12,5.093836777692479,0.9922913865760071,0.007463047008906326,0.005,12.74637923192026,0.04033358431434104
12,5.093836777692479,0.9922913865760071,0.007463047008906326,0.01,12.936254736227022,0.028914160573495006
12,5.093836777692479,0.9922913865760071,0.007463047008906326,0.02,13.611266513375929,0.04007217272984427
12,5.093836777692479,0.9922913865760071,0.007463047008906326,0.03,14.317961396355104,0.20203522357835335
