sweep,value,label,method,states,reward_mean,feasible_mean,latency_mean,ppl_mean,energy_mean,max_energy_ratio_mean,runtime_mean
area_m,500.0,500,autoreg_rl_pure,24,-0.19831818667736348,1.0,1.9830568547643557,30.812941526761236,532.4931779647995,0.11614798094631273,0.06583558332446653
area_m,500.0,500,block_beam_strong,24,-0.2007379739684474,1.0,2.0072388517453477,30.813063818963755,538.9901501643421,0.11764758554635328,0.3794949083433797
area_m,500.0,500,block_lns_strong,24,-0.1991367438724286,1.0,1.9912265554468078,30.813063783055103,534.7911248069461,0.11676707182760089,0.07629461665055715
area_m,500.0,500,hybrid_heuristic,24,-0.1991367438724286,1.0,1.9912265554468078,30.813063783055103,534.7911248069461,0.11676707182760089,0.014364395824183399
area_m,750.0,750,autoreg_rl_pure,24,-0.21966993332452792,1.0,2.1601318102700735,31.09365799339922,579.7062772571518,0.1263704292697072,0.07978461664364052
area_m,750.0,750,block_beam_strong,24,-0.22594894314165645,1.0,2.2076367391109186,31.211399570822802,592.2582054089115,0.12918134770564518,0.3941995583300013
area_m,750.0,750,block_lns_strong,24,-0.22216071588477004,1.0,2.169786635417807,31.211151774145304,582.5486278040474,0.12702579900221914,0.07896270417647126
area_m,750.0,750,hybrid_heuristic,24,-0.22216071588477004,1.0,2.169786635417807,31.211151774145304,582.5486278040474,0.12702579900221914,0.014807504165219143
area_m,1000.0,1000,autoreg_rl_pure,24,-0.2871235702361541,1.0,2.356935201281211,34.77363256308513,632.2363921063758,0.13787634682272795,0.1206605124946994
area_m,1000.0,1000,block_beam_strong,24,-0.30096894214737485,1.0,2.4913586316294696,34.80467785583139,669.1119166144264,0.1464450717901943,0.3995761291589588
area_m,1000.0,1000,block_lns_strong,24,-0.2897752702291528,1.0,2.3826580151283694,34.77975017422431,639.2693155214391,0.13937520299524703,0.07683040833217092
area_m,1000.0,1000,hybrid_heuristic,24,-0.2897752702291528,1.0,2.3826580151283694,34.77975017422431,639.2693155214391,0.13937520299524703,0.014221766682264084
area_m,1250.0,1250,autoreg_rl_pure,24,-0.6130574036885653,1.0,2.6138328499450827,57.90141707312731,700.6181351346431,0.1526029166723374,0.1982975083422692
area_m,1250.0,1250,block_beam_strong,24,-0.649251623995056,1.0,2.77464200222054,59.45074388528145,744.8306181678445,0.16304811898998964,0.39535395414956537
area_m,1250.0,1250,block_lns_strong,24,-0.6377405855927046,1.0,2.7082206068306234,59.075692866810755,727.467229369846,0.1591505041346908,0.07907064170770657
area_m,1250.0,1250,hybrid_heuristic,24,-0.6377405855927046,1.0,2.7082206068306234,59.075692866810755,727.467229369846,0.1591505041346908,0.01487663749139756
area_m,1500.0,1500,autoreg_rl_pure,24,-1.413123060566751,1.0,3.03897678014796,116.25555032320919,810.5736991994927,0.17640558138519533,0.2372999666549731
area_m,1500.0,1500,block_beam_strong,24,-2.176523230757948,1.0,3.175302507705455,174.01010816597568,845.8726971015709,0.18529371127422012,0.38613542084931396
area_m,1500.0,1500,block_lns_strong,24,-2.116825693300068,1.0,3.1132101330568034,169.88990728449684,829.717459331618,0.1815314096265318,0.08571557499817573
area_m,1500.0,1500,hybrid_heuristic,24,-2.116825693300068,1.0,3.1132101330568034,169.88990728449684,829.717459331618,0.1815314096265318,0.015507825009990484
sequence_length,64.0,64,autoreg_rl_pure,24,-0.16884822367968555,1.0,1.1865259392317233,34.67854522957273,318.2343644447205,0.0693327319178925,0.1194286458582307
sequence_length,64.0,64,block_beam_strong,24,-0.17640101056590138,1.0,1.2456793158147348,34.80467785583139,334.5559583072132,0.07322253589509715,0.40026596664877917
sequence_length,64.0,64,block_lns_strong,24,-0.17064236947273434,1.0,1.1913290075641845,34.77975017422431,319.63465776071956,0.06968760149762351,0.08041449165709007
sequence_length,64.0,64,hybrid_heuristic,24,-0.17064236947273434,1.0,1.1913290075641845,34.77975017422431,319.63465776071956,0.06968760149762351,0.015439379174495116
sequence_length,96.0,96,autoreg_rl_pure,24,-0.22803948647770753,1.0,1.7745663883764802,34.70837260238735,476.00813675851197,0.10371539092559419,0.12353519999305718
sequence_length,96.0,96,block_beam_strong,24,-0.23868497635663802,1.0,1.868518973722102,34.80467785583139,501.83393746081975,0.10983380384264574,0.4005810500239022
sequence_length,96.0,96,block_lns_strong,24,-0.23020881985094355,1.0,1.786993511346277,34.77975017422431,479.45198664107926,0.10453140224643526,0.0813608707782502
sequence_length,96.0,96,hybrid_heuristic,24,-0.23020881985094355,1.0,1.786993511346277,34.77975017422431,479.45198664107926,0.10453140224643526,0.015199970861431211
sequence_length,128.0,128,autoreg_rl_pure,24,-0.2871235702361541,1.0,2.356935201281211,34.77363256308513,632.2363921063758,0.13787634682272795,0.13193481249618344
sequence_length,128.0,128,block_beam_strong,24,-0.30096894214737485,1.0,2.4913586316294696,34.80467785583139,669.1119166144264,0.1464450717901943,0.40128967498700757
sequence_length,128.0,128,block_lns_strong,24,-0.2897752702291528,1.0,2.3826580151283694,34.77975017422431,639.2693155214391,0.13937520299524703,0.08935573333292268
sequence_length,128.0,128,hybrid_heuristic,24,-0.2897752702291528,1.0,2.3826580151283694,34.77975017422431,639.2693155214391,0.13937520299524703,0.01684983332719033
sequence_length,160.0,160,autoreg_rl_pure,24,-0.34604695026818444,1.0,2.9461690016015134,34.77363256308513,790.2954901329698,0.17234543352840995,0.13467538333497941
sequence_length,160.0,160,block_beam_strong,24,-0.3631808901117764,1.0,3.103349510161543,34.88269841590721,833.2928115286871,0.18241108594161595,0.4163800749908357
sequence_length,160.0,160,block_lns_strong,24,-0.3489987275973238,1.0,2.9647640066200425,34.85777058854476,795.2159322705551,0.17341350746907436,0.08418402918808472
sequence_length,160.0,160,hybrid_heuristic,24,-0.3489987275973238,1.0,2.9647640066200425,34.85777058854476,795.2159322705551,0.17341350746907436,0.016533570839480188
sequence_length,192.0,192,autoreg_rl_pure,24,-0.4049703303002146,1.0,3.5354028019218156,34.77363256308513,948.3545881595637,0.20681452023409186,0.1386089583490199
sequence_length,192.0,192,block_beam_strong,24,-0.42524788031500727,1.0,3.724019412193851,34.88269841590721,999.9513738344243,0.21889330312993913,0.38025255413958803
sequence_length,192.0,192,block_lns_strong,24,-0.40829400772972463,1.0,3.5577168079440518,34.85777058854476,954.2591187246661,0.2080962089628892,0.07645765417449486
sequence_length,192.0,192,hybrid_heuristic,24,-0.40829400772972463,1.0,3.5577168079440518,34.85777058854476,954.2591187246661,0.2080962089628892,0.014169354166369885
snr_threshold,5.0,5,autoreg_rl_pure,24,-0.23527027141094922,1.0,2.3272620089915352,31.00794817508479,624.2359697940294,0.13605077022552575,0.08015071666644265
